nome_variavel;tipo;qt_nulos;percent_nulos;cardinalidade
veiculos;int64;0;0.0;19
br;int64;0;0.0;113
feridos;int64;0;0.0;36
ignorados;int64;0;0.0;17
ilesos;int64;0;0.0;47
feridos_graves;int64;0;0.0;17
feridos_leves;int64;0;0.0;34
mortos;int64;0;0.0;10
pessoas;int64;0;0.0;55
id;object;0;0.0;60365
regional;object;1;0.0;28
longitude;object;0;0.0;32535
latitude;object;0;0.0;32558
uso_solo;object;0;0.0;2
tracado_via;object;0;0.0;592
tipo_pista;object;0;0.0;3
condicao_metereologica;object;0;0.0;10
sentido_via;object;0;0.0;3
fase_dia;object;0;0.0;4
classificacao_acidente;object;1;0.0;3
tipo_acidente;object;0;0.0;17
causa_acidente;object;0;0.0;69
municipio;object;0;0.0;1809
km;object;0;0.0;7341
uf;object;0;0.0;27
horario;object;0;0.0;1400
dia_semana;object;0;0.0;7
data_inversa;object;0;0.0;305
delegacia;object;24;0.04;152
uop;object;95;0.16;394
